Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.1148658091227213,17.4125,1.9062399473190308,24.216666666666665,128,0.004,results/run_20250522_130605/model_parameters/model_epoch_1.pth
2,1.810846032778422,24.022916666666667,1.7279057502746582,29.533333333333335,128,0.004,results/run_20250522_130605/model_parameters/model_epoch_2.pth
3,1.6554064524968466,28.13125,1.63064142481486,26.691666666666666,128,0.004,results/run_20250522_130605/model_parameters/model_epoch_3.pth
4,1.5734444122314453,28.722916666666666,1.569019692738851,27.641666666666666,128,0.004,results/run_20250522_130605/model_parameters/model_epoch_4.pth
5,1.5278713906606038,29.13125,1.541602967262268,30.058333333333334,128,0.004,results/run_20250522_130605/model_parameters/model_epoch_5.pth
