Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.074665455818176,18.38125,1.839271329243978,23.275,128,0.004,results/run_20250522_073548/model_checkpoints/model_epoch_1.pth
2,1.716432066599528,29.75625,1.650395610809326,34.641666666666666,128,0.004,results/run_20250522_073548/model_checkpoints/model_epoch_2.pth
3,1.597780016263326,35.53541666666667,1.5972034966150919,35.2,128,0.004,results/run_20250522_073548/model_checkpoints/model_epoch_3.pth
4,1.5312157983779908,37.66875,1.5376327104568481,37.25833333333333,128,0.004,results/run_20250522_073548/model_checkpoints/model_epoch_4.pth
5,1.4854721612930297,39.59375,1.4995806884765626,38.68333333333333,128,0.004,results/run_20250522_073548/model_checkpoints/model_epoch_5.pth
