Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.1131283184687297,15.822916666666666,1.8942066345214843,27.333333333333332,128,0.004,results/run_20250522_081553/model_checkpoints/model_epoch_1.pth
2,1.815524736404419,24.397916666666667,1.7256265551249186,26.683333333333334,128,0.004,results/run_20250522_081553/model_checkpoints/model_epoch_2.pth
3,1.7008595527013144,28.279166666666665,1.6951441933314007,31.166666666666668,128,0.004,results/run_20250522_081553/model_checkpoints/model_epoch_3.pth
4,1.667588134765625,29.170833333333334,1.6602128499348958,29.266666666666666,128,0.004,results/run_20250522_081553/model_checkpoints/model_epoch_4.pth
5,1.6448998568852742,30.554166666666667,1.6432407134373983,31.016666666666666,128,0.004,results/run_20250522_081553/model_checkpoints/model_epoch_5.pth
