Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.122556590716044,18.345833333333335,1.900491114616394,26.208333333333332,128,0.004,results/run_20250522_113752/model_parameters/model_epoch_1.pth
2,1.8174106826782226,25.514583333333334,1.735190001487732,31.441666666666666,128,0.004,results/run_20250522_113752/model_parameters/model_epoch_2.pth
3,1.6764794123967488,32.291666666666664,1.6471611925760905,34.15833333333333,128,0.004,results/run_20250522_113752/model_parameters/model_epoch_3.pth
4,1.6190489660898844,34.28125,1.6108683382670084,33.425,128,0.004,results/run_20250522_113752/model_parameters/model_epoch_4.pth
5,1.5672585519154867,36.541666666666664,1.5623469966252646,36.225,128,0.004,results/run_20250522_113752/model_parameters/model_epoch_5.pth
