Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.2001565291086833,16.833333333333332,2.1030858936309813,21.508333333333333,128,0.004,results/run_20250522_131222/model_parameters/model_epoch_1.pth
2,2.0537846819559733,21.189583333333335,2.0260427939097085,21.016666666666666,128,0.004,results/run_20250522_131222/model_parameters/model_epoch_2.pth
3,2.002372187932332,21.0125,1.9836422106424967,20.725,128,0.004,results/run_20250522_131222/model_parameters/model_epoch_3.pth
4,1.97273379834493,21.3375,1.9665132624308268,21.391666666666666,128,0.004,results/run_20250522_131222/model_parameters/model_epoch_4.pth
5,1.9618204425175985,22.4,1.959597427368164,22.575,128,0.004,results/run_20250522_131222/model_parameters/model_epoch_5.pth
