Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Batch_Size,Learning_Rate,Checkpoint_Path
1,2.1222966782251995,18.2875,1.891928599993388,25.366666666666667,128,0.004,results/run_20250523_154311/model_parameters/model_epoch_1.pth
2,1.8025658534367879,26.29375,1.6993590024312337,35.325,128,0.004,results/run_20250523_154311/model_parameters/model_epoch_2.pth
3,1.6476593421300252,32.770833333333336,1.6247917620340984,34.483333333333334,128,0.004,results/run_20250523_154311/model_parameters/model_epoch_3.pth
4,1.595103424390157,33.077083333333334,1.6123965072631836,35.21666666666667,128,0.004,results/run_20250523_154311/model_parameters/model_epoch_4.pth
5,1.5659877964655557,34.327083333333334,1.5769262132644652,36.233333333333334,128,0.004,results/run_20250523_154311/model_parameters/model_epoch_5.pth
